trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
119,False,"{'a': 0.2, 'e': 0.38092482436688185}",25,17,16.368518320276543,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
120,False,"{'a': 0.2, 'e': 0.37165987226053299}",20,0,-8.789944337652685,"{0: 18, 1: 0, 2: 1, 3: 1, 4: 0}",0
121,False,"{'a': 0.2, 'e': 0.36235775447667362}",30,3,-3.7917462179411086,"{0: 23, 1: 0, 2: 4, 3: 0, 4: 0}",1
122,False,"{'a': 0.2, 'e': 0.3530194012193304}",25,10,-5.56117558976109,"{0: 13, 1: 0, 2: 1, 3: 1, 4: 0}",1
123,False,"{'a': 0.2, 'e': 0.34364574631604705}",25,0,-69.1766135926699,"{0: 20, 1: 0, 2: 2, 3: 2, 4: 1}",0
124,False,"{'a': 0.2, 'e': 0.33423772712450261}",20,0,15.252241668639483,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
125,False,"{'a': 0.2, 'e': 0.32479628443877623}",20,8,7.99472110982574,"{0: 11, 1: 0, 2: 1, 3: 0, 4: 0}",1
126,False,"{'a': 0.2, 'e': 0.31532236239526867}",20,12,16.678841638761043,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
127,False,"{'a': 0.2, 'e': 0.30581690837828934}",20,9,0.9900956452431733,"{0: 10, 1: 0, 2: 0, 3: 1, 4: 0}",1
128,False,"{'a': 0.2, 'e': 0.29628087292531874}",20,14,9.69645831097337,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
129,False,"{'a': 0.2, 'e': 0.28671520963195551}",20,3,22.82961566367506,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 0}",1
130,False,"{'a': 0.2, 'e': 0.27712087505655758}",20,8,-31.57224294125583,"{0: 7, 1: 1, 2: 4, 3: 0, 4: 0}",1
131,False,"{'a': 0.2, 'e': 0.26749882862458735}",20,10,-13.85293461418451,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
132,False,"{'a': 0.2, 'e': 0.25785003253266964}",20,10,17.15626575676057,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
133,False,"{'a': 0.2, 'e': 0.2481754516523729}",20,0,1.1191982974096097,"{0: 18, 1: 1, 2: 0, 3: 1, 4: 0}",0
134,False,"{'a': 0.2, 'e': 0.23847605343372313}",20,2,-20.48408597210951,"{0: 16, 1: 1, 2: 0, 3: 0, 4: 1}",1
135,False,"{'a': 0.2, 'e': 0.22875280780845939}",20,3,8.23415674457755,"{0: 15, 1: 0, 2: 2, 3: 0, 4: 0}",1
